Class,H3K27ac,H3K4me1,H3K4me3,H3K9me3,Brd4,Cdk8,Cdk9,Med12,p300,CBP,Pol2,Lsd1,Brg1,Smc1,Nipbl,Mi2b,CHD7,HDAC2,HDAC,DNaseI,Oct4,Sox2,Nanog,Smad3,Stat3,Tcf3,Esrrb,Klf4,Prdm14,Tcfcp2I1,Nr5a2,AT_content,GC_content,phastCons,phastConsP,repeat_fraction,length
SE,0.6339,0.9938,0.6105,0,1.0859,1.1717,0.7659,1.1733,0.8036,1.6789,0,2.0056,0,0.1804,0.45,0.594,0.9837,0.6496,0.2952,0.6493,1.1075,1.1117,1.9626,0.7492,0.0276,1.1553,2.7348,0.3586,1.3148,0.8179,0.2936,0.514118,0.485882,0.055149,0.055149,0.268235,850
SE,4.2866,0.1439,3.9699,0.2574,1.5119,1.4561,1.0998,1.4734,2.414,3.1675,0.6722,1.417,1.0492,0.4857,0.5511,0.7291,1.4607,1.5521,0.6784,2.2244,1.3087,1.6882,1.9434,1.7849,0.461,0.7974,4.0867,1.1294,4.6153,0.0492,0.1675,0.503941,0.496059,0.167858,0.158934,0.045192,1903
SE,2.9177,2.2763,0,0,0.8189,0,0,0.2792,0.1884,0,1.5694,0.0897,0.5567,0.5561,0.3467,0.1376,0.7002,0,0.1333,0.6479,0.0391,0.0173,0,0,0,0,1.3371,0.4938,1.3731,0,0,0.5,0.5,0.00225,0.00225,1,4
SE,3.0656,0.8284,1.1624,0,3.9616,1.3137,1.3893,1.5875,3.0161,0.7373,5.2874,2.1206,0.7984,0.6087,0.3861,1.151,1.0314,0.7523,0.4652,3.19,2.1211,2.2666,2.2781,0.788,0.1508,0.9384,0.5626,0.7788,23.8045,0,0,0.501035,0.498965,0.016822,0.01682,0.130435,966
SE,3.0831,0.6854,0.7475,0,4.0892,2.819,1.7104,3.7149,5.1044,2.6054,2.9313,2.1334,0.2888,0.6157,0.6857,0.7625,2.0209,1.2046,0.8627,2.1413,2.0029,1.8789,2.1872,2.2959,0.9009,3.6174,1.5558,0.4436,1.988,0,0.3624,0.510417,0.489583,0.071145,0.071145,0.366422,1632
SE,1.6213,0.6452,0,0.2019,9.5354,3.8404,2.0105,5.2687,3.4971,5.6818,4.7417,2.8072,1.2036,0.4814,0.7268,0.8227,1.7415,1.2177,0.5091,5.7302,2.3622,2.1153,2.1579,3.2497,1.8024,1.9937,0.7905,0.7134,1.7331,1.0752,0.8892,0.515654,0.484346,0.027247,0.031049,0.41989,1086
SE,2.2171,0.4445,0.187,0.366,4.6177,0.7558,0.7798,0.922,1.7718,1.7599,0.7736,1.2489,0.6614,0.1312,0.2616,0.2362,0.9223,0,0,1.2031,2.2006,0.5818,0.9451,0.4554,0,0.1077,2.7242,0.619,0.4125,1.0018,0.061,0.47331,0.52669,0.062015,0.062016,0.177936,843
SE,0.4529,0.6913,0,0.3475,3.1531,1.0872,0.8744,1.4274,0.7833,1.3378,0.7462,1.3169,1.0542,0.1365,0.4373,1.24,1.08,0.71,0.5711,2.0749,1.7934,1.4749,4.7142,1.5939,0.2517,0.9188,1.6575,0.7787,1.7952,0.1772,0.1937,0.55611,0.44389,0.022764,0.022764,0,802
SE,1.8342,0.8199,1.3143,0.5738,0.7797,0.6878,0.7458,1.5732,0.6067,0.9386,0.5591,1.149,0.4432,0.5667,0.4303,0.7669,0.7535,0.3641,0.8714,1.1446,0.5743,0.7196,2.0232,0.3338,0.246,1.1661,1.0972,0.5919,6.4658,3.4696,0,0.504563,0.495437,0.156516,0.156516,0.119948,767
SE,1.6223,0.4184,0.2752,0,0.441,1.2713,0.4381,1.6581,1.1137,1.8675,0.037,1.898,0.3885,0.6427,0.7543,0.2403,0.5858,0.2158,0.5065,0.2279,1.069,1.2984,1.6331,0.9225,1.0234,0.8941,1.5239,0.6934,1.9227,0,0,0.483495,0.516505,0.095338,0.095338,0.139806,515
